root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
ءلف,22,8,12,19,76.6,+0.15,0.0243,1,SIGNATURE(local)
عرب,22,4,15,22,76.5,-0.10,0.52,0,ordinary
فتی,21,12,7,19,76.5,+0.32,0.422,0,ordinary
حلم,21,4,16,20,76.4,-0.10,0.95,0,ordinary
حذر,21,7,12,19,76.4,+0.11,0.868,0,ordinary
کتم,21,4,7,20,76.3,-0.10,0.846,0,ordinary
بقی,21,10,16,21,76.2,+0.25,0.394,0,ordinary
سنن,21,4,11,15,76.2,-0.10,0.372,0,ordinary
ءوب,21,7,11,21,76.1,+0.11,0.04,1,SIGNATURE(local)
حمم,21,3,15,20,76.1,-0.19,0.141,0,ordinary
منی,21,10,10,18,76.0,+0.25,0.201,0,ordinary
نشر,21,15,18,20,76.0,+0.41,0.219,0,ordinary
حجر,21,6,14,18,75.9,+0.05,0.19,0,ordinary
ءثر,21,8,16,21,75.8,+0.16,0.375,0,ordinary
شهر,21,5,9,17,75.8,-0.02,0.307,0,ordinary
فقه,20,4,12,20,75.7,-0.09,0.431,0,ordinary
هرن,20,1,13,20,75.7,-0.49,0.696,0,ordinary
صنع,20,8,14,19,75.6,+0.17,0.741,0,ordinary
حزب,20,3,13,17,75.5,-0.18,0.308,0,ordinary
فطر,20,7,17,19,75.5,+0.12,0.422,0,ordinary
لعب,20,5,13,20,75.4,-0.01,0.459,0,ordinary
کشف,20,7,14,20,75.4,+0.12,0.533,0,ordinary
سنو,20,3,17,20,75.3,-0.18,0.84,0,ordinary
درج,20,3,16,20,75.2,-0.18,0.981,0,ordinary
نفخ,20,6,17,18,75.2,+0.06,0.435,0,ordinary
نخل,20,4,16,20,75.1,-0.09,0.488,0,ordinary
نزع,20,9,16,20,75.1,+0.21,0.669,0,ordinary
ربو,20,10,12,15,75.0,+0.25,0.702,0,ordinary
NA,20,1,19,20,75.0,-0.49,0.753,0,ordinary
مری,20,8,16,19,74.9,+0.17,0.57,0,ordinary
سحق,19,3,14,18,74.8,-0.18,0.914,0,ordinary
سعر,19,3,15,19,74.8,-0.18,0.177,0,ordinary
غرب,19,11,13,17,74.7,+0.30,0.663,0,ordinary
رشد,19,7,9,19,74.7,+0.12,0.19,0,ordinary
صور,19,5,17,17,74.6,-0.00,0.329,0,ordinary
بلد,19,4,15,19,74.5,-0.08,0.0759,0,ordinary
طلع,19,9,13,18,74.5,+0.22,0.0888,0,ordinary
فکه,19,6,12,19,74.4,+0.07,0.115,0,ordinary
ثمن,19,6,13,19,74.4,+0.07,0.744,0,ordinary
فکر,18,3,13,18,74.3,-0.17,0.729,0,ordinary
خصم,18,11,12,17,74.3,+0.31,0.385,0,ordinary
فرض,18,5,7,14,74.2,+0.01,0.772,0,ordinary
نفر,18,9,10,16,74.1,+0.23,0.45,0,ordinary
دبب,18,2,14,18,74.1,-0.29,0.783,0,ordinary
صفو,18,9,12,17,74.0,+0.23,0.971,0,ordinary
رءس,18,2,15,17,74.0,-0.29,0.745,0,ordinary
مکن,18,5,12,16,73.9,+0.01,0.454,0,ordinary
حصن,18,7,7,12,73.8,+0.13,0.456,0,ordinary
لدن,18,1,10,17,73.8,-0.47,0.775,0,ordinary
نوب,18,7,11,18,73.7,+0.13,0.361,0,ordinary
ثبت,18,7,11,17,73.7,+0.13,0.543,0,ordinary
ملل,18,3,11,16,73.6,-0.17,1,0,ordinary
نقم,17,7,12,16,73.5,+0.14,0.429,0,ordinary
بوء,17,8,12,16,73.5,+0.19,0.971,0,ordinary
خفف,17,9,13,17,73.4,+0.24,0.394,0,ordinary
عوذ,17,6,14,17,73.4,+0.08,0.0648,0,ordinary
ربص,17,6,7,12,73.3,+0.08,0.29,0,ordinary
شرق,17,7,13,17,73.3,+0.14,0.651,0,ordinary
زعم,17,4,10,16,73.2,-0.06,0.52,0,ordinary
سوق,17,10,13,16,73.1,+0.28,0.153,0,ordinary
خشع,17,9,16,16,73.1,+0.24,0.398,0,ordinary
منع,17,8,16,17,73.0,+0.19,0.204,0,ordinary
سور,17,5,13,16,73.0,+0.02,0.617,0,ordinary
مهد,16,7,13,15,72.9,+0.15,0.444,0,ordinary
غلل,16,7,12,13,72.8,+0.15,0.7,0,ordinary
کیل,16,6,7,13,72.8,+0.09,0.221,0,ordinary
دود,16,1,9,16,72.7,-0.45,0.293,0,ordinary
بلس,16,4,13,16,72.7,-0.05,0.642,0,ordinary
لبب,16,1,10,16,72.6,-0.45,0.666,0,ordinary
عتد,16,2,10,16,72.5,-0.27,0.466,0,ordinary
حبط,16,4,12,16,72.5,-0.05,0.555,0,ordinary
خون,16,10,8,11,72.4,+0.29,0.366,0,ordinary
لهو,16,8,13,15,72.4,+0.20,0.0979,0,ordinary
جهر,16,6,13,15,72.3,+0.09,0.357,0,ordinary
غدو,16,7,13,16,72.3,+0.15,0.45,0,ordinary
خبث,16,7,9,10,72.2,+0.15,0.617,0,ordinary
فءد,16,3,13,15,72.1,-0.15,0.252,0,ordinary
علن,16,5,12,16,72.1,+0.03,0.557,0,ordinary
کفف,15,5,9,14,72.0,+0.04,0.79,0,ordinary
رکب,15,8,13,15,72.0,+0.21,0.347,0,ordinary
سوم,15,5,10,15,71.9,+0.04,0.797,0,ordinary
صمم,15,3,13,14,71.8,-0.14,0.982,0,ordinary
مطر,15,4,9,9,71.8,-0.04,0.558,0,ordinary
مسح,15,3,5,12,71.7,-0.14,0.548,0,ordinary
حرج,15,2,9,11,71.7,-0.26,0.435,0,ordinary
حرر,15,7,10,11,71.6,+0.16,0.797,0,ordinary
بدء,15,4,11,14,71.5,-0.04,0.437,0,ordinary
شکک,15,1,11,15,71.5,-0.44,0.618,0,ordinary
بیع,15,4,8,11,71.4,-0.04,0.34,0,ordinary
وصف,14,3,7,14,71.4,-0.13,0.543,0,ordinary
صفف,14,5,11,12,71.3,+0.05,0.145,0,ordinary
رجم,14,9,12,14,71.3,+0.27,0.388,0,ordinary
عطو,14,7,11,12,71.2,+0.17,0.0243,1,SIGNATURE(local)
فقر,14,5,11,14,71.1,+0.05,0.769,0,ordinary
سطر,14,5,13,14,71.1,+0.05,0.377,0,ordinary
رسو,14,4,13,14,71.0,-0.03,0.34,0,ordinary
زرع,14,6,12,12,71.0,+0.12,0.422,0,ordinary
لوم,14,11,10,12,70.9,+0.35,0.357,0,ordinary
صوم,14,7,6,11,70.8,+0.17,0.823,0,ordinary
ولج,14,4,8,9,70.8,-0.03,0.357,0,ordinary
حرث,14,2,7,11,70.7,-0.25,0.562,0,ordinary
عشو,14,5,11,14,70.7,+0.05,0.564,0,ordinary
ثوی,14,4,10,14,70.6,-0.03,0.577,0,ordinary
وقت,13,6,10,13,70.5,+0.13,0.478,0,ordinary
یءس,13,6,9,11,70.5,+0.13,0.372,0,ordinary
رکع,13,7,8,10,70.4,+0.19,0.372,0,ordinary
جلد,13,4,6,9,70.4,-0.02,0.357,0,ordinary
صغر,13,7,11,13,70.3,+0.19,0.983,0,ordinary
شهو,13,5,13,13,70.3,+0.06,0.658,0,ordinary
شعب,13,4,6,12,70.2,-0.02,0.413,0,ordinary
رءف,13,2,8,13,70.1,-0.24,0.675,0,ordinary
ضیق,13,6,10,12,70.1,+0.13,0.785,0,ordinary
جور,13,9,10,10,70.0,+0.28,0.661,0,ordinary
بغت,13,1,10,13,70.0,-0.42,0.913,0,ordinary
خلل,13,4,11,13,69.9,-0.02,0.873,0,ordinary
نصح,13,6,6,11,69.8,+0.13,0.555,0,ordinary
صیح,13,1,9,13,69.8,-0.42,0.329,0,ordinary
طمءن,13,7,11,12,69.7,+0.19,0.69,0,ordinary
قنت,13,7,8,12,69.7,+0.19,0.413,0,ordinary
قرض,13,4,6,7,69.6,-0.02,0.153,0,ordinary
عصم,13,6,10,12,69.5,+0.13,0.967,0,ordinary
خزن,13,3,11,13,69.5,-0.12,0.46,0,ordinary
حور,13,6,10,12,69.4,+0.13,0.283,0,ordinary
غلظ,13,6,10,13,69.4,+0.13,0.451,0,ordinary
غلم,13,4,8,13,69.3,-0.02,0.375,0,ordinary
نجم,13,2,12,13,69.3,-0.24,0.233,0,ordinary
حلف,13,3,5,12,69.2,-0.12,0.264,0,ordinary
فدی,13,8,10,13,69.1,+0.24,0.786,0,ordinary
فوه,13,2,10,13,69.1,-0.24,0.77,0,ordinary
ءبی,13,6,8,12,69.0,+0.13,0.911,0,ordinary
شقو,12,9,7,12,69.0,+0.30,0.103,0,ordinary
شمل,12,3,9,11,68.9,-0.10,0.364,0,ordinary
بخل,12,4,6,7,68.8,-0.01,0.207,0,ordinary
شبه,12,6,6,9,68.8,+0.14,0.944,0,ordinary
شیع,12,5,9,11,68.7,+0.07,0.621,0,ordinary
نیل,12,3,7,10,68.7,-0.10,0.939,0,ordinary
نبذ,12,4,10,12,68.6,-0.01,0.24,0,ordinary
حنف,12,2,9,12,68.5,-0.23,0.611,0,ordinary
سفر,12,7,9,12,68.5,+0.20,0.252,0,ordinary
عسر,12,7,9,12,68.4,+0.20,0.0243,1,SIGNATURE(local)
بکر,12,4,11,12,68.4,-0.01,0.508,0,ordinary
عصو,12,2,6,12,68.3,-0.23,0.543,0,ordinary
نطق,12,4,9,11,68.3,-0.01,0.38,0,ordinary
سلک,12,6,11,12,68.2,+0.14,0.329,0,ordinary
کنن,12,5,11,12,68.1,+0.07,0.551,0,ordinary
طین,12,2,11,12,68.1,-0.23,0.701,0,ordinary
طمع,12,5,10,12,68.0,+0.07,0.54,0,ordinary
خوض,12,6,7,9,68.0,+0.14,0.309,0,ordinary
ودی,12,4,11,11,67.9,-0.01,0.52,0,ordinary
بیض,12,5,10,12,67.8,+0.07,0.893,0,ordinary
رهب,12,10,10,12,67.8,+0.34,0.95,0,ordinary
جبی,12,5,12,12,67.7,+0.07,0.919,0,ordinary
خطب,12,6,11,12,67.7,+0.14,0.543,0,ordinary
حسر,12,5,12,12,67.6,+0.07,0.728,0,ordinary
خرر,12,3,10,12,67.5,-0.10,0.728,0,ordinary
جحد,12,2,10,12,67.5,-0.23,0.657,0,ordinary
درک,12,8,9,11,67.4,+0.25,0.898,0,ordinary
نجل,12,1,6,12,67.4,-0.40,0.708,0,ordinary
لحم,12,3,10,12,67.3,-0.10,0.72,0,ordinary
عذر,12,6,8,11,67.3,+0.14,0.286,0,ordinary
نطف,12,1,11,12,67.2,-0.40,0.331,0,ordinary
سجن,12,4,3,12,67.1,-0.01,0.115,0,ordinary
وصل,12,5,7,10,67.1,+0.07,0.593,0,ordinary
طرق,11,5,6,11,67.0,+0.09,0.0857,0,ordinary
طرف,11,4,11,11,67.0,+0.01,0.797,0,ordinary
قصر,11,7,9,11,66.9,+0.21,0.444,0,ordinary
غمم,11,4,8,10,66.8,+0.01,1,0,ordinary
جمل,11,6,9,11,66.8,+0.15,0.422,0,ordinary
رضع,11,7,5,6,66.7,+0.21,0.424,0,ordinary
طبع,11,3,9,11,66.7,-0.09,0.708,0,ordinary
عون,11,7,8,10,66.6,+0.21,0.27,0,ordinary
شفق,11,4,9,11,66.5,+0.01,0.312,0,ordinary
برق,11,3,10,11,66.5,-0.09,0.424,0,ordinary
حصی,11,5,10,11,66.4,+0.09,0.356,0,ordinary
یمم,11,2,7,10,66.4,-0.21,0.506,0,ordinary
فرر,11,7,9,10,66.3,+0.21,0.271,0,ordinary
وکء,11,5,10,11,66.3,+0.09,0.392,0,ordinary
فءی,11,3,6,9,66.2,-0.09,0.601,0,ordinary
غیظ,11,4,8,10,66.1,+0.01,0.786,0,ordinary
صعق,11,5,8,10,66.1,+0.09,0.45,0,ordinary
ورد,11,8,7,9,66.0,+0.26,0.524,0,ordinary
سفه,11,6,5,10,66.0,+0.15,0.861,0,ordinary
حرب,11,5,9,11,65.9,+0.09,0.946,0,ordinary
عدن,11,1,11,11,65.8,-0.39,0.418,0,ordinary
طور,11,2,9,11,65.8,-0.21,0.255,0,ordinary
وقد,11,6,10,11,65.7,+0.15,0.197,0,ordinary
عنب,11,4,10,11,65.7,+0.01,0.466,0,ordinary
زبر,11,4,10,11,65.6,+0.01,0.595,0,ordinary
لغو,11,4,11,11,65.5,+0.01,0.374,0,ordinary
سبب,11,5,6,10,65.5,+0.09,0.566,0,ordinary
سحب,11,3,10,11,65.4,-0.09,0.656,0,ordinary
ضیع,10,4,8,10,65.4,+0.02,0.998,0,ordinary
جدد,10,4,8,10,65.3,+0.02,0.413,0,ordinary
زیل,10,6,10,10,65.3,+0.17,0.972,0,ordinary
مءی,10,2,5,7,65.2,-0.20,0.508,0,ordinary
ملو,10,5,8,9,65.1,+0.10,0.663,0,ordinary
قدس,10,5,7,10,65.1,+0.10,0.511,0,ordinary
رجز,10,2,7,9,65.0,-0.20,0.627,0,ordinary
رجس,10,2,7,9,65.0,-0.20,0.954,0,ordinary
حیق,10,2,9,10,64.9,-0.20,0.748,0,ordinary
بطش,10,5,8,8,64.8,+0.10,0.283,0,ordinary
رعی,10,8,9,9,64.8,+0.28,0.272,0,ordinary
نقص,10,6,9,10,64.7,+0.17,0.622,0,ordinary
رهق,10,4,7,10,64.7,+0.02,0.25,0,ordinary
عرج,10,5,9,10,64.6,+0.10,0.264,0,ordinary
طول,10,5,10,10,64.6,+0.10,0.585,0,ordinary
عتو,10,5,7,9,64.5,+0.10,0.378,0,ordinary
سود,10,9,8,9,64.4,+0.32,0.954,0,ordinary
ضحک,10,6,8,10,64.4,+0.17,0.192,0,ordinary
دفع,10,4,8,9,64.3,+0.02,0.574,0,ordinary
دمر,10,3,8,8,64.3,-0.07,0.66,0,ordinary
دمو,10,3,7,10,64.2,-0.07,1,0,ordinary
جبر,10,3,9,10,64.1,-0.07,0.682,0,ordinary
قهر,10,4,9,10,64.1,+0.02,0.302,0,ordinary
خیل,10,5,10,10,64.0,+0.10,0.856,0,ordinary
ءید,10,3,8,10,64.0,-0.07,0.691,0,ordinary
کفل,10,5,8,10,63.9,+0.10,0.745,0,ordinary
عزل,10,6,8,10,63.8,+0.17,0.785,0,ordinary
سفل,10,5,9,9,63.8,+0.10,0.0243,1,SIGNATURE(local)
ءصل,10,4,10,10,63.7,+0.02,0.598,0,ordinary
زلف,10,5,8,10,63.7,+0.10,0.343,0,ordinary
فیض,9,4,7,8,63.6,+0.04,0.994,0,ordinary
غنم,9,2,6,9,63.6,-0.18,0.371,0,ordinary
وهن,9,5,7,8,63.5,+0.12,0.557,0,ordinary
حلی,9,4,8,9,63.4,+0.04,0.564,0,ordinary
دوم,9,4,6,9,63.4,+0.04,0.611,0,ordinary
بقر,9,3,3,9,63.3,-0.06,0.897,0,ordinary
عوج,9,2,7,9,63.3,-0.18,0.908,0,ordinary
قذف,9,4,6,8,63.2,+0.04,0.478,0,ordinary
زنی,9,6,4,5,63.1,+0.19,0.268,0,ordinary
عزم,9,3,7,9,63.1,-0.06,0.818,0,ordinary
عبر,9,4,8,9,63.0,+0.04,0.593,0,ordinary
سرق,9,7,4,7,63.0,+0.24,0.371,0,ordinary
کنز,9,4,6,7,62.9,+0.04,0.786,0,ordinary
نقض,9,4,7,9,62.8,+0.04,0.178,0,ordinary
وقر,9,4,8,9,62.8,+0.04,0.429,0,ordinary
رمی,9,4,5,7,62.7,+0.04,0.0979,0,ordinary
سبت,9,3,6,7,62.7,-0.06,0.708,0,ordinary
حرق,9,4,8,9,62.6,+0.04,0.484,0,ordinary
نوم,9,3,9,9,62.6,-0.06,0.543,0,ordinary
عنق,9,2,8,9,62.5,-0.18,0.748,0,ordinary
عکف,9,6,7,9,62.4,+0.19,0.876,0,ordinary
عوم,9,3,5,7,62.4,-0.06,0.739,0,ordinary
تجر,9,1,7,8,62.3,-0.36,0.257,0,ordinary
زیغ,9,6,7,8,62.3,+0.19,0.334,0,ordinary
بثث,9,5,9,9,62.2,+0.12,0.188,0,ordinary
قبض,9,5,6,7,62.1,+0.12,0.631,0,ordinary
فرج,9,2,8,9,62.1,-0.18,0.361,0,ordinary
صعد,9,5,8,9,62.0,+0.12,0.611,0,ordinary
فضض,9,3,6,9,62.0,-0.06,0.206,0,ordinary
لون,9,2,5,7,61.9,-0.18,0.455,0,ordinary
ذبح,9,4,6,9,61.8,+0.04,0.787,0,ordinary
صحف,9,3,8,9,61.8,-0.06,0.0531,0,ordinary
برز,9,3,8,9,61.7,-0.06,0.616,0,ordinary
همم,9,2,6,8,61.7,-0.18,0.971,0,ordinary
ترف,8,4,7,8,61.6,+0.06,0.596,0,ordinary
ءنی,8,5,8,8,61.6,+0.14,0.339,0,ordinary
ستت,8,2,8,8,61.5,-0.16,0.566,0,ordinary
سقط,8,6,8,8,61.4,+0.21,0.791,0,ordinary
سلف,8,3,7,8,61.4,-0.04,0.789,0,ordinary
خمس,8,4,7,8,61.3,+0.06,0.555,0,ordinary
بهت,8,4,6,8,61.3,+0.06,0.792,0,ordinary
رغب,8,6,7,8,61.2,+0.21,0.174,0,ordinary
درس,8,5,7,8,61.1,+0.14,0.769,0,ordinary
ختم,8,6,7,8,61.1,+0.21,0.238,0,ordinary
حجب,8,3,8,8,61.0,-0.04,0.533,0,ordinary
صوت,8,2,4,5,61.0,-0.16,0.192,0,ordinary
هبط,8,2,4,8,60.9,-0.16,0.977,0,ordinary
فرط,8,4,6,8,60.8,+0.06,0.914,0,ordinary
صفح,8,5,6,7,60.8,+0.14,0.41,0,ordinary
صلب,8,4,7,8,60.7,+0.06,0.357,0,ordinary
برهن,8,2,7,8,60.7,-0.16,0.912,0,ordinary
رجف,8,4,5,7,60.6,+0.06,0.253,0,ordinary
سری,8,4,8,8,60.6,+0.06,0.45,0,ordinary
وبل,8,3,6,7,60.5,-0.04,0.424,0,ordinary
کلف,8,4,7,8,60.4,+0.06,0.858,0,ordinary
عقر,8,3,7,8,60.4,-0.04,0.283,0,ordinary
غبر,8,2,7,8,60.3,-0.16,0.422,0,ordinary
عیش,8,4,8,8,60.3,+0.06,0.207,0,ordinary
ضرع,8,5,4,8,60.2,+0.14,0.392,0,ordinary
قبر,8,4,8,8,60.1,+0.06,0.04,1,SIGNATURE(local)
خسف,8,3,7,8,60.1,-0.04,0.424,0,ordinary
خضر,8,4,7,8,60.0,+0.06,0.557,0,ordinary
لطف,8,3,8,8,60.0,-0.04,0.727,0,ordinary
حظظ,7,2,5,7,59.9,-0.14,0.957,0,ordinary
ءجج,7,4,5,5,59.8,+0.08,0.524,0,ordinary
زکر,7,1,4,6,59.8,-0.32,0.73,0,ordinary
سرح,7,5,3,5,59.7,+0.16,0.448,0,ordinary
ندم,7,2,6,7,59.7,-0.14,0.729,0,ordinary
دکک,7,4,4,4,59.6,+0.08,0.0759,0,ordinary
بضع,7,2,2,6,59.6,-0.14,0.257,0,ordinary
برج,7,4,6,6,59.5,+0.08,0.398,0,ordinary
سکر,7,4,5,6,59.4,+0.08,0.463,0,ordinary
بخس,7,4,6,7,59.4,+0.08,0.722,0,ordinary
تسع,7,4,5,6,59.3,+0.08,0.394,0,ordinary
زیت,7,4,5,6,59.3,+0.08,0.211,0,ordinary
مکث,7,5,7,7,59.2,+0.16,0.861,0,ordinary
نسک,7,4,3,6,59.1,+0.08,0.623,0,ordinary
فیء,7,4,5,6,59.1,+0.08,0.266,0,ordinary
بعل,7,3,5,5,59.0,-0.02,0.647,0,ordinary
دلل,7,4,5,7,59.0,+0.08,0.399,0,ordinary
موج,7,2,5,6,58.9,-0.14,0.692,0,ordinary
غرف,7,5,5,5,58.8,+0.16,0.751,0,ordinary
حبل,7,2,5,6,58.8,-0.14,0.178,0,ordinary
علق,7,3,6,6,58.7,-0.02,0.245,0,ordinary
نوق,7,1,6,7,58.7,-0.32,0.272,0,ordinary
ضحو,7,3,5,7,58.6,-0.02,0.103,0,ordinary
عقد,7,3,5,7,58.6,-0.02,0.115,0,ordinary
عمه,7,1,7,7,58.5,-0.32,0.939,0,ordinary
عمد,7,4,7,7,58.4,+0.08,0.17,0,ordinary
نکث,7,3,5,6,58.4,-0.02,0.564,0,ordinary
نصف,7,1,3,7,58.3,-0.32,0.27,0,ordinary
خول,7,3,5,6,58.3,-0.02,0.716,0,ordinary
خمر,7,2,5,7,58.2,-0.14,0.811,0,ordinary
خطف,7,6,6,6,58.1,+0.23,0.698,0,ordinary
قسو,7,3,6,6,58.1,-0.02,0.953,0,ordinary
عصف,7,5,6,6,58.0,+0.16,0.0888,0,ordinary
بکی,7,5,6,7,58.0,+0.16,0.363,0,ordinary
وعی,7,6,4,4,57.9,+0.23,0.183,0,ordinary
زجر,6,5,3,5,57.8,+0.19,0.233,0,ordinary
ءسر,6,5,4,6,57.8,+0.19,0.296,0,ordinary
همن,6,1,3,6,57.7,-0.29,0.45,0,ordinary
کلب,6,2,3,4,57.7,-0.12,0.455,0,ordinary
مهل,6,2,5,5,57.6,-0.12,0.04,1,SIGNATURE(local)
وطء,6,5,4,5,57.6,+0.19,0.474,0,ordinary
بکم,6,3,5,6,57.5,+0.01,1,0,ordinary
نزغ,6,2,4,4,57.4,-0.12,0.628,0,ordinary
کظم,6,3,6,6,57.4,+0.01,0.683,0,ordinary
تبر,6,5,4,4,57.3,+0.19,0.418,0,ordinary
قمص,6,1,1,6,57.3,-0.29,0.255,0,ordinary
قنط,6,5,5,6,57.2,+0.19,0.435,0,ordinary
کهف,6,1,1,6,57.1,-0.29,0.238,0,ordinary
خلط,6,4,6,6,57.1,+0.11,0.98,0,ordinary
ضیف,6,2,5,6,57.0,-0.12,0.387,0,ordinary
حرف,6,3,5,6,57.0,+0.01,0.976,0,ordinary
حبر,6,3,4,6,56.9,+0.01,0.786,0,ordinary
لحد,6,3,6,6,56.8,+0.01,0.663,0,ordinary
دءب,6,3,5,6,56.8,+0.01,0.744,0,ordinary
قصد,6,5,5,6,56.7,+0.19,0.499,0,ordinary
مقت,6,2,4,5,56.7,-0.12,0.374,0,ordinary
شفی,6,3,6,6,56.6,+0.01,0.912,0,ordinary
ردی,6,5,6,6,56.6,+0.19,0.279,0,ordinary
ءدی,6,4,4,5,56.5,+0.11,0.832,0,ordinary
زلزل,6,4,4,4,56.4,+0.11,0.04,1,SIGNATURE(local)
زور,6,4,5,6,56.4,+0.11,0.157,0,ordinary
حصد,6,4,6,6,56.3,+0.11,0.79,0,ordinary
رصد,6,5,4,6,56.3,+0.19,0.219,0,ordinary
حمی,6,4,5,5,56.2,+0.11,0.162,0,ordinary
ذرء,6,2,6,6,56.1,-0.12,0.704,0,ordinary
سدد,6,3,4,5,56.1,+0.01,0.503,0,ordinary
حصر,6,5,5,6,56.0,+0.19,1,0,ordinary
غیث,6,3,5,5,56.0,+0.01,0.629,0,ordinary
فرش,6,4,6,6,55.9,+0.11,0.183,0,ordinary
ثقف,6,3,6,6,55.8,+0.01,0.815,0,ordinary
فزع,6,1,4,6,55.8,-0.29,0.455,0,ordinary
فرغ,6,4,6,6,55.7,+0.11,0.127,0,ordinary
لحق,6,2,6,6,55.7,-0.12,0.424,0,ordinary
مرج,6,4,3,6,55.6,+0.11,0.174,0,ordinary
ندد,6,1,5,6,55.6,-0.29,0.811,0,ordinary
کرر,6,2,6,6,55.5,-0.12,0.422,0,ordinary
غرم,6,5,5,6,55.4,+0.19,0.415,0,ordinary
صید,6,2,1,5,55.4,-0.12,0.393,0,ordinary
ضوء,6,3,5,6,55.3,+0.01,0.972,0,ordinary
لءلء,6,2,6,6,55.3,-0.12,0.309,0,ordinary
حسس,6,4,4,6,55.2,+0.11,0.745,0,ordinary
صرر,6,4,5,6,55.1,+0.11,0.36,0,ordinary
کءس,6,2,5,6,55.1,-0.12,0.206,0,ordinary
حمر,6,3,6,6,55.0,+0.01,0.375,0,ordinary
لوح,6,3,4,6,55.0,+0.01,0.276,0,ordinary
فخر,6,4,5,6,54.9,+0.11,0.418,0,ordinary
میل,6,5,1,3,54.9,+0.19,0.495,0,ordinary
حطم,6,3,5,6,54.8,+0.01,0.0243,1,SIGNATURE(local)
خنزر,5,2,4,5,54.7,-0.09,0.994,0,ordinary
رفق,5,4,3,5,54.7,+0.14,0.654,0,ordinary
کسف,5,1,5,5,54.6,-0.26,0.557,0,ordinary
نقذ,5,4,4,5,54.6,+0.14,0.487,0,ordinary
ذرع,5,4,4,4,54.5,+0.14,0.251,0,ordinary
دهن,5,5,4,4,54.4,+0.21,0.219,0,ordinary
لزم,5,3,5,5,54.4,+0.04,0.753,0,ordinary
صدع,5,4,5,5,54.3,+0.14,0.209,0,ordinary
طوی,5,4,4,4,54.3,+0.14,0.422,0,ordinary
ربط,5,4,4,5,54.2,+0.14,0.744,0,ordinary
لوی,5,4,3,5,54.1,+0.14,0.511,0,ordinary
مید,5,2,4,5,54.1,-0.09,0.758,0,ordinary
مضی,5,5,5,5,54.0,+0.21,0.693,0,ordinary
مصر,5,2,4,5,54.0,-0.09,0.79,0,ordinary
قتر,5,5,5,5,53.9,+0.21,0.393,0,ordinary
قدد,5,2,2,5,53.9,-0.09,0.335,0,ordinary
هلل,5,2,4,5,53.8,-0.09,1,0,ordinary
صنم,5,2,5,5,53.7,-0.09,0.893,0,ordinary
ذمم,5,3,3,5,53.7,+0.04,0.535,0,ordinary
حوت,5,2,4,5,53.6,-0.09,0.556,0,ordinary
نکل,5,4,5,5,53.6,+0.14,0.392,0,ordinary
صفر,5,3,5,5,53.5,+0.04,0.45,0,ordinary
صدف,5,3,2,3,53.4,+0.04,0.663,0,ordinary
فرد,5,2,4,5,53.4,-0.09,0.617,0,ordinary
صبب,5,4,4,4,53.3,+0.14,0.137,0,ordinary
طرد,5,3,3,4,53.3,+0.04,0.803,0,ordinary
درء,5,4,5,5,53.2,+0.14,0.948,0,ordinary
عمم,5,3,3,3,53.1,+0.04,0.628,0,ordinary
قطر,5,4,5,5,53.1,+0.14,0.617,0,ordinary
عثو,5,1,5,5,53.0,-0.26,0.974,0,ordinary
نفد,5,4,4,4,53.0,+0.14,0.619,0,ordinary
سنبل,5,4,2,4,52.9,+0.14,0.667,0,ordinary
نسف,5,4,2,3,52.9,+0.14,0.268,0,ordinary
حرص,5,4,5,5,52.8,+0.14,1,0,ordinary
بور,5,4,4,5,52.7,+0.14,0.45,0,ordinary
قفو,5,2,4,4,52.7,-0.09,0.52,0,ordinary
حسد,5,5,4,4,52.6,+0.21,0.0243,1,SIGNATURE(local)
جوع,5,2,5,5,52.6,-0.09,0.0857,0,ordinary
جثم,5,1,3,5,52.5,-0.26,0.786,0,ordinary
رعب,5,2,5,5,52.4,-0.09,0.745,0,ordinary
کمل,5,4,3,5,52.4,+0.14,0.993,0,ordinary
عتب,5,2,4,4,52.3,-0.09,0.444,0,ordinary
خطو,5,1,3,4,52.3,-0.26,0.805,0,ordinary
خیب,5,2,4,5,52.2,-0.09,0.204,0,ordinary
خوی,5,1,5,5,52.1,-0.26,0.625,0,ordinary
عصب,5,2,4,5,52.1,-0.09,0.786,0,ordinary
کسو,5,4,4,5,52.0,+0.14,1,0,ordinary
وسوس,5,4,4,5,52.0,+0.14,0.0243,1,SIGNATURE(local)
طمس,5,3,5,5,51.9,+0.04,0.397,0,ordinary
عصر,5,5,4,5,51.9,+0.21,0.0243,1,SIGNATURE(local)
جوز,5,2,5,5,51.8,-0.09,0.93,0,ordinary
عنت,5,2,5,5,51.7,-0.09,0.858,0,ordinary
مرد,5,5,5,5,51.7,+0.21,0.893,0,ordinary
سبط,5,2,4,5,51.6,-0.09,1,0,ordinary
ثور,5,3,4,5,51.6,+0.04,0.178,0,ordinary
کوکب,5,3,5,5,51.5,+0.04,0.307,0,ordinary
لمس,5,3,5,5,51.4,+0.04,0.615,0,ordinary
ءرک,5,1,4,5,51.4,-0.26,0.178,0,ordinary
زهق,5,4,3,4,51.3,+0.14,0.743,0,ordinary
شرح,5,4,5,5,51.3,+0.14,0.141,0,ordinary
