root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
جبن,1,1,1,1,12.2,-0.00,0.554,0,ordinary
جبه,1,1,1,1,12.1,-0.00,0.847,0,ordinary
جثث,1,1,1,1,12.1,-0.00,0.57,0,ordinary
مجس,1,1,1,1,12.0,-0.00,0.693,0,ordinary
محل,1,1,1,1,11.9,-0.00,0.535,0,ordinary
مخض,1,1,1,1,11.9,-0.00,0.6,0,ordinary
مرت,1,1,1,1,11.8,-0.00,1,0,ordinary
جذو,1,1,1,1,11.8,-0.00,0.721,0,ordinary
جرر,1,1,1,1,11.7,-0.00,0.916,0,ordinary
جرع,1,1,1,1,11.6,-0.00,0.558,0,ordinary
جرف,1,1,1,1,11.6,-0.00,0.824,0,ordinary
لهم,1,1,1,1,11.5,-0.00,0.115,0,ordinary
لوذ,1,1,1,1,11.5,-0.00,0.69,0,ordinary
لیت,1,1,1,1,11.4,-0.00,0.312,0,ordinary
لفح,1,1,1,1,11.3,-0.00,0.561,0,ordinary
لفظ,1,1,1,1,11.3,-0.00,0.368,0,ordinary
شغف,1,1,1,1,11.2,-0.00,0.786,0,ordinary
شفه,1,1,1,1,11.2,-0.00,0.134,0,ordinary
رتع,1,1,1,1,11.1,-0.00,0.775,0,ordinary
منو,1,1,1,1,11.1,-0.00,0.329,0,ordinary
مکو,1,1,1,1,11.0,-0.00,0.662,0,ordinary
مطو,1,1,1,1,10.9,-0.00,0.18,0,ordinary
معز,1,1,1,1,10.9,-0.00,0.87,0,ordinary
معن,1,1,1,1,10.8,-0.00,0.0243,1,SIGNATURE(local)
معی,1,1,1,1,10.8,-0.00,0.376,0,ordinary
مرو,1,1,1,1,10.7,-0.00,1,0,ordinary
مزن,1,1,1,1,10.6,-0.00,0.387,0,ordinary
مسخ,1,1,1,1,10.6,-0.00,0.466,0,ordinary
مسد,1,1,1,1,10.5,-0.00,0.0857,0,ordinary
مسو,1,1,1,1,10.5,-0.00,0.506,0,ordinary
مشج,1,1,1,1,10.4,-0.00,0.266,0,ordinary
جبت,1,1,1,1,10.3,-0.00,0.977,0,ordinary
میر,1,1,1,1,10.3,-0.00,0.781,0,ordinary
