salience_rank,root,freq,n_forms,n_suras,n_ayat,morphology_pctile,sura_concentration_q,signature,typology
1308,غدق,1,1,1,1,21.4,0.252,0,ordinary
1309,ءثل,1,1,1,1,34.9,0.551,0,ordinary
1310,ءدد,1,1,1,1,35.0,0.582,0,ordinary
1311,سجو,1,1,1,1,32.2,0.1,0,ordinary
1312,سحل,1,1,1,1,31.0,0.731,0,ordinary
1313,سدی,1,1,1,1,32.9,0.169,0,ordinary
1314,سرد,1,1,1,1,32.7,0.538,0,ordinary
1315,سردق,1,1,1,1,32.6,0.758,0,ordinary
1316,سطح,1,1,1,1,31.3,0.15,0,ordinary
1317,سطو,1,1,1,1,31.3,0.684,0,ordinary
1318,سغب,1,1,1,1,31.2,0.143,0,ordinary
1319,سفع,1,1,1,1,31.2,0.127,0,ordinary
1320,لحف,1,1,1,1,14.1,1,0,ordinary
1321,سلب,1,1,1,1,31.9,0.659,0,ordinary
1322,سلسبل,1,1,1,1,31.8,0.243,0,ordinary
1323,سلق,1,1,1,1,31.7,0.726,0,ordinary
1324,سمد,1,1,1,1,30.7,0.32,0,ordinary
1325,سمک,1,1,1,1,30.7,0.184,0,ordinary
1326,سند,1,1,1,1,30.6,0.187,0,ordinary
1327,سنم,1,1,1,1,30.5,0.183,0,ordinary
1328,قمطر,1,1,1,1,15.9,0.26,0,ordinary
1329,قمع,1,1,1,1,15.8,0.665,0,ordinary
1330,زفف,1,1,1,1,32.0,0.548,0,ordinary
1331,زمل,1,1,1,1,33.6,0.227,0,ordinary
1332,زمهر,1,1,1,1,33.6,0.27,0,ordinary
1333,زنجبل,1,1,1,1,33.5,0.275,0,ordinary
1334,زنم,1,1,1,1,33.5,0.277,0,ordinary
1335,زهد,1,1,1,1,33.4,0.771,0,ordinary
1336,زهر,1,1,1,1,33.3,0.703,0,ordinary
1337,لحن,1,1,1,1,14.6,0.423,0,ordinary
1338,لحی,1,1,1,1,14.5,0.703,0,ordinary
1339,لزب,1,1,1,1,14.3,0.539,0,ordinary
1340,لهم,1,1,1,1,14.1,0.0958,0,ordinary
1341,لوذ,1,1,1,1,14.0,0.698,0,ordinary
1342,لیت,1,1,1,1,13.9,0.315,0,ordinary
1343,رین,1,1,1,1,0.8,0.158,0,ordinary
1344,زبن,1,1,1,1,0.8,0.119,0,ordinary
1345,زحف,1,1,1,1,0.6,0.652,0,ordinary
1346,زرب,1,1,1,1,0.6,0.146,0,ordinary
1347,زرق,1,1,1,1,0.5,0.703,0,ordinary
1348,زری,1,1,1,1,0.5,0.798,0,ordinary
1349,لفح,1,1,1,1,13.3,0.592,0,ordinary
1350,لفظ,1,1,1,1,13.2,0.379,0,ordinary
1351,لقب,1,1,1,1,13.2,0.322,0,ordinary
1352,لقح,1,1,1,1,15.0,0.423,0,ordinary
1353,محل,1,1,1,1,12.9,0.57,0,ordinary
1354,مخض,1,1,1,1,12.7,0.598,0,ordinary
1355,مرت,1,1,1,1,12.6,1,0,ordinary
1356,روع,1,1,1,1,0.4,0.804,0,ordinary
1357,روم,1,1,1,1,0.3,0.508,0,ordinary
1358,رکد,1,1,1,1,0.2,0.536,0,ordinary
1359,رکز,1,1,1,1,0.2,0.612,0,ordinary
1360,ریش,1,1,1,1,0.1,0.908,0,ordinary
1361,ریع,1,1,1,1,0.0,0.708,0,ordinary
1362,قمل,1,1,1,1,15.8,0.923,0,ordinary
1363,قنو,1,1,1,1,15.7,0.892,0,ordinary
1364,قنی,1,1,1,1,15.6,0.325,0,ordinary
1365,قوب,1,1,1,1,15.6,0.312,0,ordinary
1366,قوس,1,1,1,1,15.5,0.325,0,ordinary
1367,سنه,1,1,1,1,30.5,1,0,ordinary
1368,سهر,1,1,1,1,29.3,0.204,0,ordinary
1369,سهل,1,1,1,1,29.3,0.912,0,ordinary
1370,سهم,1,1,1,1,29.2,0.549,0,ordinary
1371,سوح,1,1,1,1,31.0,0.539,0,ordinary
1372,سوط,1,1,1,1,30.9,0.174,0,ordinary
1373,قطط,1,1,1,1,16.0,0.481,0,ordinary
1374,رفرف,1,1,1,1,32.3,0.414,0,ordinary
1375,مرو,1,1,1,1,12.1,1,0,ordinary
1376,مزن,1,1,1,1,11.9,0.365,0,ordinary
1377,مسخ,1,1,1,1,11.9,0.452,0,ordinary
1378,مسد,1,1,1,1,11.8,0.0733,0,ordinary
1379,مسو,1,1,1,1,11.8,0.521,0,ordinary
1380,مشج,1,1,1,1,11.7,0.28,0,ordinary
1381,رقق,1,1,1,1,32.2,0.277,0,ordinary
1382,رمح,1,1,1,1,33.3,0.86,0,ordinary
1383,رمد,1,1,1,1,33.2,0.552,0,ordinary
1384,رمز,1,1,1,1,33.2,0.945,0,ordinary
1385,رمض,1,1,1,1,33.1,1,0,ordinary
1386,رهو,1,1,1,1,0.9,0.344,0,ordinary
1387,مجس,1,1,1,1,13.1,0.652,0,ordinary
1388,معن,1,1,1,1,10.4,0.0526,0,ordinary
1389,معی,1,1,1,1,10.3,0.414,0,ordinary
1390,رخو,1,1,1,1,30.2,0.468,0,ordinary
1391,ردء,1,1,1,1,31.7,0.714,0,ordinary
1392,ردم,1,1,1,1,31.6,0.751,0,ordinary
1393,رصص,1,1,1,1,31.5,0.232,0,ordinary
1394,رغم,1,1,1,1,32.5,0.969,0,ordinary
1395,قطمر,1,1,1,1,15.1,0.478,0,ordinary
1396,قطن,1,1,1,1,15.0,0.538,0,ordinary
1397,قعر,1,1,1,1,16.9,0.347,0,ordinary
1398,قفل,1,1,1,1,16.8,0.423,0,ordinary
1399,قلع,1,1,1,1,16.8,0.789,0,ordinary
1400,قمح,1,1,1,1,16.7,0.438,0,ordinary
1401,سکب,1,1,1,1,30.0,0.347,0,ordinary
1402,سکت,1,1,1,1,30.0,0.912,0,ordinary
1403,سیء,1,1,1,1,29.9,0.829,0,ordinary
1404,سیب,1,1,1,1,29.9,0.852,0,ordinary
