global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
922,جرح,,4,4,3,45.9,+0.17,,45,-0.3,0.727
923,کرب,,4,1,3,45.8,-0.23,,37,-0.0,0.52
924,صلصل,,4,1,2,45.7,-0.23,,15,1.3,0.219
925,سدر,,4,2,3,45.7,-0.05,,53,1.4,0.242
926,سرج,,4,1,4,45.6,-0.23,,78,0.7,0.308
927,سرب,,4,4,4,45.6,+0.17,,78,0.2,0.408
928,حیض,,4,2,2,45.5,-0.05,,65,1.0,0.242
929,سفح,,4,3,3,45.4,+0.07,,4,-0.6,0.994
930,رکن,,4,2,3,45.4,-0.05,,51,-0.1,0.558
931,جسد,,4,1,4,45.3,-0.23,,38,-0.4,0.791
932,سخط,,4,3,4,45.3,+0.07,,47,-0.4,0.832
933,سحت,,4,2,2,45.2,-0.05,,5,-0.3,0.708
934,هیء,,4,3,3,45.1,+0.07,,18,-0.4,0.791
935,شیخ,,4,3,4,45.1,+0.07,,40,-0.5,0.875
936,صرح,,4,2,3,45.0,-0.05,,27,-0.2,0.617
937,شءن,,4,1,4,45.0,-0.23,,80,0.7,0.301
938,سیل,,4,3,2,44.9,+0.07,,34,0.5,0.337
939,ورق,,4,2,4,44.9,-0.05,,20,-0.6,0.971
940,فشل,,4,2,2,44.8,-0.05,,8,-0.2,0.67
941,میز,,4,3,4,44.7,+0.07,,67,-0.0,0.543
942,فلق,daybreak(Falaq),4,3,3,44.7,+0.07,,113,4.7,0.115
943,مهن,,4,1,4,44.6,-0.23,,77,0.9,0.29
944,حمء,,4,2,2,44.6,-0.05,,15,1.3,0.252
945,رتل,,4,2,2,44.5,-0.05,,73,2.6,0.178
946,شور,,4,4,4,44.4,+0.17,,42,-0.5,0.883
947,فور,,4,3,4,44.4,+0.07,,67,-0.2,0.628
948,رذل,,4,3,4,44.3,+0.07,,22,-0.5,0.872
949,جهز,,4,2,1,44.3,-0.05,,12,0.3,0.357
950,رحل,,4,3,2,44.2,+0.07,,106,6.1,0.0888
951,رحب,,4,2,2,44.2,-0.05,,38,0.1,0.452
952,هنء,,4,1,4,44.1,-0.23,,77,0.8,0.289
953,زول,,4,3,2,44.0,+0.07,,35,0.5,0.347
954,ءمد,,4,2,4,44.0,-0.05,,72,0.0,0.488
955,زخرف,,4,2,4,43.9,-0.05,,43,-0.5,0.855
956,ءبل,,3,2,3,43.9,-0.00,,105,6.2,0.0759
957,زفر,,3,2,3,43.8,-0.00,,25,-0.3,0.748
958,زقم,,3,1,3,43.7,-0.18,,44,0.3,0.35
